model,level,source_file,example_index,problem_type,primary_error_type,secondary_error_types,correct,finish_reason,input_tokens,output_tokens,reasoning_formulation_score,reasoning_approach_score,reasoning_constraint_score,reasoning_hallucination,reasoning_failure_point,arithmetic_error_found,arithmetic_first_error_step,arithmetic_computed_value,arithmetic_correct_value,arithmetic_error_magnitude,arithmetic_cascaded,arithmetic_additional_independent_errors,final_correct_value_in_reasoning,final_correct_value_found,final_distance_from_expected,final_model_recognized_it,final_reason_not_recognized,final_context
Claude,level-3,eval_results/level-3/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,0,quadratic_programming,partial_constraint_handling_failure,partial_reasoning_failure|continued_refinement,,max_tokens,505,16000,2,1,1,False,Did not fully solve the active-set KKT conditions or provide a final global optimality proof/answer.,False,,,,,,0,True,301.99,0.00,False,continued_refinement,"Model cycled through candidate solutions, repeatedly calculating values close to the optimal objective, but each time sought further verification or refinement, never explicitly marking the correct value as final before response ended."
Claude,level-3,eval_results/level-3/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,1,quadratic_programming,unknown,,,max_tokens,501,16000,2,2,2,False,"No failure—this is a complete, well-justified mathematical solution with global optimality proven.",False,,,,,,0,True,519.74,0.00,False,token_limit,Model stopped while computing final sum. The value 519.74 is reachable directly from the numbers given; cutoff happened while calculating q^Tx.
Claude,level-3,eval_results/level-3/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,2,quadratic_programming,partial_reasoning_failure,,,max_tokens,504,16000,2,1,2,False,"Approach: The model applies detailed but incomplete KKT, active-set, and constraint analysis without producing a final explicit solution or fully justifying global optimality.",False,,,,,,0,False,,,,,
Claude,level-3,eval_results/level-3/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,3,quadratic_programming,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,,max_tokens,504,16000,2,1,1,False,Did not fully justify global optimality; did not rule out other inequality constraints being active or handle all activeness possibilities for global proof.,True,KKT system solution for x2,x2 = 15400/4358 ≈ 3.534,x2 = 980/277 ≈ 3.538,small (< 5%),True,0,False,,,,,
Claude,level-3,eval_results/level-3/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,4,quadratic_programming,arithmetic_failure,no_correct_value_found,False,end_turn,501,9980,2,2,2,False,Minor arithmetic error in the final value; reasoning and approach are otherwise fully correct and globally optimal.,True,"Solving for x* (x1, x2, x3) from the reduced 2x2 system and propagating fractions.","x3 = 57107/10453, x2 = -37012/10453, x1 = 49003/10453","x3 = 61775/11387, x2 = -40370/11387, x1 = 52473/11387",medium (5-20%),True,0,False,,,,,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,0,geometric,partial_reasoning_failure,continued_refinement|arithmetic_failure,False,end_turn,510,13218,2,1,2,False,Did not offer a mathematically complete proof that the minimum cannot be improved beyond the sampled x2 ≈ 3.0 region; the argument relies on checking narrow bands of variable settings rather than a global guarantee.,True,"Computing the objective at x1=0.7420, x2=3, x3=0.9803",3.454 + 0.360 + 27.19 = 31.00,3.454 + 0.360 + 31.01 = 34.82,large (> 20%),True,0,True,30.99,0.00,False,continued_refinement,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,1,geometric,no_correct_value_found,,False,end_turn,503,10028,2,2,2,False,"Final answer is slightly off due to approximation/numerical error, not reasoning. Reasoning is globally sound.",False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,2,geometric,partial_reasoning_failure,arithmetic_failure,False,end_turn,509,12390,2,1,2,False,Sufficient optimality conditions are not rigorously established; the model relies on systematic but not globally exhaustive boundary/candidate analysis.,True,"Constraint verification: model used x1=2.273, x2=4.0816, x3=0.5, but at this point constraint 1 evaluates to 22.51789 (> 22.51) and constraint 3 to 0.4900 (> 0.49), both slightly violated.","22.51789, 0.4900","22.51, 0.49",small (< 5%),False,0,False,,,,,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,3,geometric,partial_reasoning_failure,arithmetic_failure,,max_tokens,498,16000,2,1,2,False,Global optimality was not rigorously proven; only pointwise search and heuristic improvement were used.,True,"Objective calculation at v = 2.12, u = 1.118",f ≈ 10.06,f ≈ 16.34,large (> 20%),True,0,False,,,,,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,4,geometric,partial_reasoning_failure,continued_refinement,False,end_turn,495,15839,2,1,2,False,approach lacks a mathematically complete global optimality proof; boundary search and local evaluations are not sufficient for approach_score=2.,False,,,,,,0,True,6.031,0.00,False,continued_refinement,
Claude,level-4,eval_results/level-4/geometric__basic_geometric_programming__claude-sonnet-4-6.json,5,geometric,partial_reasoning_failure,,False,end_turn,495,14743,2,1,2,False,Did not fully prove global optimality; restricted to x2*x3=3.846 by monotonicity/heuristic reasoning without a formal mathematical proof.,False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,0,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,False,end_turn,618,14287,2,1,1,False,"The subspace search (x = [-t, -t, 0]) is not justified as containing the global optimum; global optimality is not proved.",False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,1,qcqp,partial_reasoning_failure,,False,end_turn,618,14820,2,1,2,False,"The model does not solve for the optimizer exactly or prove global optimality, instead estimating via boundary point sampling and failing to complete KKT or a full boundary analysis.",False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,2,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,False,end_turn,618,13983,2,1,1,False,Did not fully solve for the exact optimally active constraint; stopped at an approximate point instead of globally optimal solution.,False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,3,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,False,end_turn,618,13979,2,1,1,False,Did not establish or solve the full KKT or active constraint system; settled for feasible point search without global optimality proof.,False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,4,qcqp,partial_reasoning_failure,,False,end_turn,618,15034,2,1,2,False,Approach: Search was restricted to a line without proof that this captures the global optimum; the method plausibly finds a good feasible point but does not guarantee global optimality.,False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,5,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,end_turn,618,13399,2,1,1,False,No rigorous global optimality proof; sampled along one constraint boundary without justifying optimality.,True,"Computation of Q_0 x at x = [2.33, 0.11, 1.48]","[2.77, -0.60, 1.45]","[2.03, -1.34, 2.47]",large (> 20%),True,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,6,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|continued_refinement|arithmetic_failure,False,end_turn,618,14059,2,1,1,False,Stopped at point search/interpolation on active constraint boundary without full KKT analysis or global optimality proof.,True,"Constraint 1 value at x = [0.8, -0.35, 0.2] computed as 5.661 (claimed) instead of correct 7.76",5.661,7.76,medium (5-20%),True,0,True,-2.08,0.0068,False,continued_refinement,"Model finds f ≈ -2.08 at interpolated feasible point, continues searching/refining, then finalizes -2.09 as answer."
Claude,level-4,eval_results/level-4/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,0,quadratic_programming,partial_constraint_handling_failure,partial_reasoning_failure,,max_tokens,514,16000,2,1,1,False,Could not complete the KKT/active set analysis or commit to a final optimal value; did not finalize proof or solution.,False,,,,,,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,1,quadratic_programming,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,end_turn,513,15355,2,1,1,False,"Incomplete KKT argument: did not verify dual multipliers' non-negativity ensuring full stationarity and dual feasibility, so global optimality is not proven.",True,Step 4: Compute objective value at x* (matrix products and quadratic form calculation),1434.8,132.55,large (> 20%),False,0,False,,,,,
Claude,level-4,eval_results/level-4/quadratic_programming__quadratic_programming__claude-sonnet-4-6.json,2,quadratic_programming,partial_constraint_handling_failure,partial_reasoning_failure,,max_tokens,516,16000,2,1,1,False,Did not complete KKT/active-set search or produce a proven global-optimal point; reasoning incomplete at cutoff.,False,,,,,,0,False,,,,,
